OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,StoreCode
100142,26,173,2024-06-01,6,1358.5,UNKNOWN
100045,341,54,2024-06-01,4,1214.99,ST007
100123,20,118,2024-06-01,3,565.05,ST003
100050,102,93,2024-06-01,1,754.77,ST014
100088,329,100,2024-06-01,6,1444.16,ST008
100041,7,32,2024-06-01,6,1047.04,ST004
100089,270,160,2024-06-01,6,1254.79,ST010
100060,31,92,2024-06-01,6,58.73,ST003
100147,382,13,2024-06-01,5,146.19,ST007
100031,96,27,2024-06-01,3,1404.55,ST005
100058,47,176,2024-06-01,5,145.5,ST006
100143,498,115,2024-06-01,5,297.71,ST010
100000,18,170,2024-06-01,3,369.76,ST014
100114,110,97,2024-06-01,5,151.26,ST015
100071,240,71,2024-06-01,5,1156.14,ST015
100080,199,49,2024-06-01,5,1463.9,ST011
100064,457,113,2024-06-01,6,888.3,ST004
100022,123,133,2024-06-01,5,1450.15,ST013
100065,11,177,2024-06-01,4,50.6,ST006
100126,416,77,2024-06-01,1,1285.45,ST010
100019,128,42,2024-06-01,6,28.11,ST012
100137,335,155,2024-06-01,1,690.09,ST011
100044,377,198,2024-06-01,1,443.92,ST009
100079,33,169,2024-06-01,5,1090.51,ST014
100075,233,1,2024-06-01,6,82.26,ST009
100107,406,47,2024-06-01,5,26.52,ST007
100067,21,125,2024-06-01,6,1234.79,ST008
100144,259,24,2024-06-01,2,108.7,ST007
100113,312,62,2024-06-01,,713.89,ST009
100024,333,191,2024-06-01,5,1280.25,ST013
100056,306,40,2024-06-01,3,0,ST013
100018,211,144,2024-06-01,4,558.39,ST007
100026,36,47,2024-06-01,2,580.72,ST005
100047,323,187,2024-06-01,1,1301.27,ST012
100055,513,177,2024-06-01,4,1335.56,ST012
100014,353,126,2024-06-01,4,269.78,ST005
100082,314,73,2024-06-01,3,487.82,ST007
100109,274,154,2024-06-01,4,73.77,ST015
100052,325,112,2024-06-01,3,976.7,ST001
100011,156,3,2024-06-01,1,424.75,ST009
100061,360,138,2024-06-01,1,701.07,ST003
100003,228,35,2024-06-01,6,1338.61,ST009
100023,356,176,2024-06-01,3,1445.61,ST005
100042,198,198,2024-06-01,4,1055.21,ST004
100063,404,166,2024-06-01,3,433.38,ST013
100132,154,10,2024-06-01,6,880.73,ST013
100073,272,40,2024-06-01,4,936.22,ST005
100145,149,101,2024-06-01,2,155.66,ST003
100093,476,21,2024-06-01,4,238.87,ST013
100135,451,112,2024-06-01,4,585.31,ST015
100105,184,173,2024-06-01,4,537.18,ST012
100148,135,22,2024-06-01,4,1026.1,ST009
100076,195,188,2024-06-01,2,799.38,ST015
100078,318,62,2024-06-01,3,957.96,ST012
100030,78,13,2024-06-01,5,837.42,ST001
100116,230,102,2024-06-01,1,712.84,ST012
100029,252,49,2024-06-01,3,258.39,ST001
100149,223,199,2024-06-01,6,111.43,ST003
100020,331,100,2024-06-01,4,1392.84,ST004
100119,521,57,2024-06-01,2,,ST014
100081,255,197,2024-06-01,5,776.87,ST003
100007,328,137,2024-06-01,3,867.47,ST015
100117,18,73,2024-06-01,5,263.94,ST001
100053,86,71,2024-06-01,5,1054.44,ST002
100013,147,121,2024-06-01,5,969.98,ST001
100046,349,80,2024-06-01,3,1216.12,ST003
100009,413,23,2024-06-01,4,296.89,ST005
100115,382,66,2024-06-01,3,739.97,ST008
100098,428,78,2024-06-01,1,423.5,ST004
100028,232,70,2024-06-01,6,478.8,ST010
100152,293,51,2024-06-01,5,39.79,ST010
100100,372,60,2024-06-01,5,1108.16,ST007
100032,65,184,2024-06-01,4,1045.56,ST012
100155,351,148,2024-06-01,1,181.66,ST002
100033,5,60,2024-06-01,1,857.24,ST003
100102,128,146,2024-06-01,6,919.52,ST003
100084,268,169,2024-06-01,1,409.89,ST001
100151,102,125,2024-06-01,4,1268.09,ST011
100138,523,162,2024-06-01,4,820.7,ST001
100095,381,107,2024-06-01,3,826.09,ST013
100141,258,179,2024-06-01,2,1441.98,ST003
100008,178,124,2024-06-01,5,741.31,ST004
100106,341,110,2024-06-01,1,1137.98,ST003
100059,477,195,2024-06-01,6,869.53,ST001
100037,42,193,2024-06-01,2,214.43,ST001
100111,433,96,2024-06-01,4,1283.91,ST013
100062,250,60,2024-06-01,3,816.25,ST009
100048,480,141,2024-06-01,5,1370.29,ST002
100127,205,146,2024-06-01,2,989.75,ST012
100090,132,13,2024-06-01,3,1045.48,ST004
100006,289,112,2024-06-01,5,756.44,ST011
100038,137,199,2024-06-01,4,779.9,ST002
100156,344,106,2024-06-01,4,1046.62,ST006
100118,266,35,2024-06-01,3,653.61,ST001
100034,8,127,2024-06-01,2,150.28,ST006
100036,238,179,2024-06-01,1,1485.13,ST006
100002,500,139,2024-06-01,3,592.68,ST009
100129,248,45,2024-06-01,4,110.5,ST014
100004,91,152,2024-06-01,5,948.55,ST008
100087,99,26,2024-06-01,1,42.9,ST010
100072,441,142,2024-06-01,2,327.65,ST002
100035,216,80,2024-06-01,4,924.44,ST006
100054,203,63,2024-06-01,1,1194.71,ST001
100091,311,184,2024-06-01,1,616.38,ST001
100073,272,40,2024-06-01,4,936.22,ST005
100097,271,11,2024-06-01,6,992.0,ST002
100133,296,98,2024-06-01,1,1410.64,ST013
100049,130,124,2024-06-01,6,769.46,ST005
100031,96,27,2024-06-01,3,1404.55,ST005
100130,461,177,2024-06-01,6,965.42,ST010
100136,445,31,2024-06-01,2,966.72,ST012
100016,150,153,2024-06-01,2,1431.12,ST013
100146,173,22,2024-06-01,4,32.24,ST010
100128,40,186,2024-06-01,3,248.59,ST013
100104,383,28,2024-06-01,6,375.36,ST010
100074,420,68,2024-06-01,5,132.59,ST006
100021,135,21,2024-06-01,4,645.14,ST011
100112,325,111,2024-06-01,6,1056.97,ST006
100103,286,192,2024-06-01,5,632.3,ST007
100134,29,198,2024-06-01,3,865.33,ST006
100069,251,49,2024-06-01,5,194.96,ST003
100110,181,81,2024-06-01,5,65.89,ST006
100017,4,141,2024-06-01,3,1372.72,ST004
100096,363,15,2024-06-01,5,1073.32,ST005
100085,428,34,2024-06-01,2,661.26,ST014
