OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,StoreCode
100705,93,184,2024-06-04,4,1270.45,ST010
100738,454,76,2024-06-04,5,639.08,ST003
100719,54,190,2024-06-04,1,1363.13,ST015
100890,391,88,2024-06-04,2,780.78,ST012
100807,147,47,2024-06-04,2,616.06,ST014
100764,354,86,2024-06-04,5,340.78,ST001
100883,97,144,2024-06-04,5,898.13,ST012
100790,357,38,2024-06-04,4,59.64,ST003
100729,249,14,2024-06-04,4,1308.83,ST003
100841,413,187,2024-06-04,4,516.02,ST012
100843,301,154,2024-06-04,1,572.64,ST003
100726,503,26,2024-06-04,2,761.3,ST012
100742,268,126,2024-06-04,2,679.0,ST010
100782,257,135,2024-06-04,1,755.78,ST008
100815,274,78,2024-06-04,1,1009.48,ST015
100857,64,168,2024-06-04,6,1200.78,ST015
100889,419,114,2024-06-04,5,577.79,ST009
100739,405,164,2024-06-04,5,1105.98,ST015
100758,293,192,2024-06-04,5,808.41,ST001
100866,433,67,2024-06-04,2,1476.68,ST010
100708,3,143,2024-06-04,2,1196.96,ST004
100796,12,60,2024-06-04,,788.96,ST011
100832,500,132,2024-06-04,4,24.44,ST004
100731,199,96,2024-06-04,2,849.87,ST008
100756,9,123,2024-06-04,6,503.58,ST005
100797,172,106,2024-06-04,5,663.94,ST006
100845,269,86,2024-06-04,1,405.76,ST015
100820,243,75,2024-06-04,5,980.86,ST011
100805,181,73,2024-06-04,4,409.76,ST003
100798,336,166,2024-06-04,,604.14,ST008
100851,427,98,2024-06-04,3,1422.94,ST009
100769,29,132,2024-06-04,6,631.29,ST006
100867,30,38,2024-06-04,3,790.91,ST008
100712,107,71,2024-06-04,1,1081.45,ST004
100799,304,171,2024-06-04,6,841.66,ST009
100735,31,72,2024-06-04,2,233.05,ST002
100781,191,89,2024-06-04,4,1495.33,UNKNOWN
100865,263,188,2024-06-04,5,1253.22,ST001
100846,492,152,2024-06-04,4,938.1,ST002
100870,215,163,2024-06-04,3,32.49,ST001
100876,155,70,2024-06-04,6,978.87,ST012
100839,111,187,2024-06-04,4,1339.54,ST012
100804,498,74,2024-06-04,1,563.1,ST003
100825,60,79,2024-06-04,1,1284.27,ST007
100777,298,180,2024-06-04,2,1441.8,ST013
100803,134,59,2024-06-04,4,1419.44,UNKNOWN
100744,374,110,2024-06-04,6,1477.34,ST014
100869,84,14,2024-06-04,3,412.1,ST006
100792,12,76,2024-06-04,4,849.44,ST011
100882,507,129,2024-06-04,2,1311.47,ST014
100881,472,42,2024-06-04,1,1350.53,ST004
100849,237,182,2024-06-04,5,657.01,ST013
100860,15,31,2024-06-04,3,406.67,ST008
100751,409,179,2024-06-04,1,601.51,ST008
100709,61,136,2024-06-04,1,229.13,ST010
100755,152,62,2024-06-04,6,11.92,ST002
100813,341,82,2024-06-04,3,336.85,ST003
100746,297,57,2024-06-04,5,191.37,ST003
100732,369,50,2024-06-04,6,1046.49,ST006
100855,406,1,2024-06-04,2,733.71,ST005
100837,7,73,2024-06-04,3,876.65,ST006
100722,37,61,2024-06-04,6,695.7,ST008
100858,148,107,2024-06-04,2,640.69,ST008
100828,329,50,2024-06-04,5,1003.79,ST009
100800,432,141,2024-06-04,4,237.08,ST008
100848,140,107,2024-06-04,2,830.31,ST009
100830,12,22,2024-06-04,5,443.26,ST014
100752,254,62,2024-06-04,1,86.87,ST009
100887,68,5,2024-06-04,4,1372.05,ST006
100873,393,161,2024-06-04,2,866.89,ST013
100878,297,91,2024-06-04,2,313.6,ST001
100714,496,122,2024-06-04,4,1042.45,ST003
100872,480,20,2024-06-04,5,181.04,ST004
100727,212,52,2024-06-04,4,919.12,ST015
100734,66,9,2024-06-04,6,,ST010
100716,331,94,2024-06-04,3,381.44,ST004
100762,361,163,2024-06-04,1,1107.56,ST014
100767,407,54,2024-06-04,6,268.7,ST002
100763,322,19,2024-06-04,4,681.07,ST015
100808,363,178,2024-06-04,6,42.95,ST013
100749,394,130,2024-06-04,1,780.66,ST007
100863,224,67,2024-06-04,6,390.54,ST011
100772,188,94,2024-06-04,2,872.98,ST011
100704,313,178,2024-06-04,1,170.39,ST010
100786,482,17,2024-06-04,2,318.81,ST015
100766,485,157,2024-06-04,5,215.58,ST010
100884,426,135,2024-06-04,5,902.77,ST012
100817,75,118,2024-06-04,3,160.64,ST003
100776,333,123,2024-06-04,6,271.16,ST013
100773,287,181,2024-06-04,1,950.24,ST009
100750,272,101,2024-06-04,-4,888.96,ST013
100783,364,137,2024-06-04,6,895.1,ST014
100793,278,34,2024-06-04,4,103.23,ST006
100745,127,64,2024-06-04,3,1259.15,ST007
100791,448,53,2024-06-04,5,710.74,ST011
100824,21,36,2024-06-04,6,1084.79,ST009
100877,353,93,2024-06-04,1,1245.46,ST009
100743,243,119,2024-06-04,3,174.29,ST001
100733,500,70,2024-06-04,2,1384.14,ST006
100826,317,57,2024-06-04,4,1246.18,ST006
100710,186,195,2024-06-04,5,347.73,ST009
100787,453,118,2024-06-04,1,1347.59,ST002
100774,364,199,2024-06-04,2,24.58,ST003
100747,468,147,2024-06-04,1,1381.66,ST007
100721,15,125,2024-06-04,5,604.27,ST002
100707,401,78,2024-06-04,3,598.94,ST007
100880,399,125,2024-06-04,4,209.64,ST006
100765,152,110,2024-06-04,3,681.4,ST012
100833,252,82,2024-06-04,5,132.84,ST010
100794,216,114,2024-06-04,6,1164.41,ST011
100725,167,59,2024-06-04,1,881.41,ST006
100801,156,146,2024-06-04,2,276.98,ST015
100896,402,29,2024-06-04,1,371.8,ST001
100713,58,39,2024-06-04,6,963.52,ST014
100728,113,19,2024-06-04,4,32.07,ST010
100877,353,93,2024-06-04,1,1245.46,ST009
100788,201,46,2024-06-04,3,311.68,ST002
100888,160,177,2024-06-04,3,631.06,ST003
100723,304,149,2024-06-04,3,1421.19,ST007
100718,413,195,2024-06-04,4,276.49,ST001
100778,533,195,2024-06-04,2,227.25,ST006
100810,22,82,2024-06-04,5,1075.38,ST003
100892,61,57,2024-06-04,2,253.59,ST014
100856,154,164,2024-06-04,6,1342.36,ST008
100829,114,197,2024-06-04,3,311.45,ST004
100780,217,71,2024-06-04,1,132.6,ST002
100822,473,114,2024-06-04,3,153.66,ST012
100831,229,174,2024-06-04,6,1345.02,ST002
100886,236,20,2024-06-04,1,267.18,ST014
100789,56,43,2024-06-04,3,290.08,ST002
100717,543,65,2024-06-04,3,521.82,ST010
100795,11,75,2024-06-04,2,682.67,ST002
100894,158,33,2024-06-04,2,128.78,ST003
100821,76,145,2024-06-04,6,361.08,ST015
100812,106,144,2024-06-04,6,45.51,ST001
100823,58,188,2024-06-04,4,368.54,ST015
100835,204,38,2024-06-04,6,44.67,ST014
100740,88,148,2024-06-04,5,1401.88,ST014
100868,450,178,2024-06-04,2,261.66,ST006
100816,13,104,2024-06-04,4,34.47,ST013
100893,356,37,2024-06-04,6,1108.36,ST004
100836,219,95,2024-06-04,4,276.25,ST006
100784,273,75,2024-06-04,4,105.28,ST010
100811,226,67,2024-06-04,3,990.09,ST003
100753,386,4,2024-06-04,6,506.12,ST012
100711,113,119,2024-06-04,6,1084.77,ST011
100859,465,177,2024-06-04,6,38.59,ST004
100720,276,46,2024-06-04,2,877.17,ST013
100730,111,157,2024-06-04,4,1398.52,ST003
100846,492,152,2024-06-04,4,938.1,ST002
100737,88,195,2024-06-04,3,912.04,ST004
100874,49,154,2024-06-04,2,414.71,ST009
100798,336,166,2024-06-04,,604.14,ST008
100759,500,117,2024-06-04,4,1380.18,ST013
100853,300,78,2024-06-04,4,214.47,ST009
100879,71,133,2024-06-04,3,21.44,ST006
100844,107,78,2024-06-04,4,887.49,ST014
100818,3,190,2024-06-04,5,1200.87,ST009
100840,213,114,2024-06-04,3,1227.08,ST003
100834,262,15,2024-06-04,6,315.79,ST006
100850,469,36,2024-06-04,2,445.23,ST003
100761,405,95,2024-06-04,6,523.7,ST008
100862,186,149,2024-06-04,4,952.05,ST010
100770,455,14,2024-06-04,1,1372.69,ST007
100748,23,11,2024-06-04,4,1305.5,ST012
100891,156,8,2024-06-04,6,75.21,ST014
100715,82,172,2024-06-04,1,816.37,ST001
100724,102,192,2024-06-04,6,234.26,ST015
100736,437,120,2024-06-04,4,866.55,ST007
100842,459,107,2024-06-04,2,392.84,ST014
100885,283,180,2024-06-04,1,999.23,ST007
100809,79,42,2024-06-04,2,238.45,ST002
100897,397,124,2024-06-04,4,587.0,ST001
100852,252,11,2024-06-04,3,1146.59,ST014
100741,118,23,2024-06-04,4,1388.72,ST014
100847,4,105,2024-06-04,-6,617.07,ST015
100785,189,173,2024-06-04,6,1126.19,ST013
100854,379,119,2024-06-04,2,1303.36,ST001
100864,244,178,2024-06-04,1,213.34,ST006
100861,497,18,2024-06-04,5,814.74,ST012
100895,41,109,2024-06-04,6,906.71,ST013
100871,149,75,2024-06-04,5,1371.88,ST011
100802,405,79,2024-06-04,2,1293.37,ST013
