OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,StoreCode
11001,12318,329,2026-01-12,4,467.04,STORE_020
11002,14213,587,2026-01-12,3,7218.01,STORE_010
11003,11383,338,2026-01-12,4,7789.01,STORE_023
11004,12169,653,2026-01-12,4,3060.36,STORE_018
11005,11591,71,2026-01-12,1,6483.44,STORE_008
11006,11366,81,2026-01-12,4,4608.18,STORE_010
11007,10491,438,2026-01-12,1,1841.61,STORE_003
11008,14511,148,2026-01-12,1,1245.76,STORE_023
11009,13167,534,2026-01-12,1,1948.41,STORE_002
11010,10205,614,2026-01-12,4,5557.7,STORE_016
11011,11787,458,2026-01-12,3,373.16,STORE_004
11012,14073,540,2026-01-12,4,8202.19,STORE_012
11013,14601,825,2026-01-12,4,6887.09,STORE_021
11014,10061,819,2026-01-12,5,7973.28,STORE_005
11015,13268,506,2026-01-12,4,4954.27,STORE_001
11016,12666,571,2026-01-12,3,2239.78,STORE_001
11017,13463,737,2026-01-12,2,3715.47,STORE_003
11018,10012,638,2026-01-12,1,4187.54,STORE_012
11019,14985,984,2026-01-12,5,3079.59,STORE_024
11020,13307,245,2026-01-12,3,9923.88,STORE_017
11021,12781,299,2026-01-12,3,6319.87,STORE_009
11022,11000,463,2026-01-12,4,4237.75,STORE_006
11023,10257,811,2026-01-12,3,6976.67,STORE_018
11024,13154,262,2026-01-12,2,583.5,STORE_021
11025,11869,844,2026-01-12,5,4660.79,STORE_025
11026,13051,481,2026-01-12,4,1638.03,STORE_018
11027,11957,8,2026-01-12,4,4840.18,STORE_012
11028,10571,813,2026-01-12,3,9627.76,STORE_002
11029,13267,232,2026-01-12,4,311.42,STORE_013
11030,11942,731,2026-01-12,2,6790.97,STORE_008
11031,11371,80,2026-01-12,2,4715.03,STORE_024
11032,13442,84,2026-01-12,1,8295.22,STORE_016
11033,11937,218,2026-01-12,1,4962.3,STORE_013
11034,11055,613,2026-01-12,2,3946.98,STORE_010
11035,13424,1000,2026-01-12,1,3067.37,STORE_003
11036,12679,699,2026-01-12,4,2064.82,STORE_017
11037,13568,260,2026-01-12,1,726.74,STORE_014
11038,12079,863,2026-01-12,5,4209.92,STORE_014
11039,14318,127,2026-01-12,5,3659.47,STORE_024
11040,10010,629,2026-01-12,4,5764.03,STORE_023
11041,10740,722,2026-01-12,3,9645.17,STORE_002
11042,10203,147,2026-01-12,4,4898.22,STORE_025
11043,12558,177,2026-01-12,4,1706.78,STORE_025
11044,12778,346,2026-01-12,5,7247.7,STORE_010
11045,13281,280,2026-01-12,3,8312.72,STORE_006
11046,11092,831,2026-01-12,1,425.59,STORE_025
11047,12456,611,2026-01-12,2,3430.37,STORE_016
11048,12204,614,2026-01-12,4,7178.85,STORE_010
11049,14070,678,2026-01-12,5,3807.6,STORE_007
11050,11703,377,2026-01-12,5,989.96,STORE_010
11051,10353,639,2026-01-12,3,6074.39,STORE_011
11052,11248,568,2026-01-12,4,3115.51,STORE_017
11053,11239,638,2026-01-12,2,4476.19,STORE_005
11054,13040,718,2026-01-12,2,7102.06,STORE_007
11055,10330,402,2026-01-12,5,2903.76,STORE_004
11056,13952,526,2026-01-12,2,4904.75,STORE_007
11057,13844,200,2026-01-12,5,3704.04,STORE_013
11058,13582,609,2026-01-12,4,397.62,STORE_011
11059,13642,280,2026-01-12,1,1375.48,STORE_020
11060,11689,29,2026-01-12,5,6584.39,STORE_003
11061,12750,134,2026-01-12,2,2308.41,STORE_014
11062,11013,635,2026-01-12,2,7994.84,STORE_015
11063,11558,166,2026-01-12,5,7538.97,STORE_009
11064,13568,190,2026-01-12,3,9604.29,STORE_004
11065,10398,368,2026-01-12,1,3565.44,STORE_006
11066,10651,392,2026-01-12,2,5182.37,STORE_006
11067,11070,854,2026-01-12,4,5287.44,STORE_015
11068,10579,261,2026-01-12,5,2804.17,STORE_017
11069,11681,45,2026-01-12,4,6702.92,STORE_008
11070,12848,767,2026-01-12,5,251.97,STORE_023
11071,11549,163,2026-01-12,1,6892.02,STORE_024
11072,13254,590,2026-01-12,3,9785.86,STORE_011
11073,13620,676,2026-01-12,4,6701.47,STORE_023
11074,10611,28,2026-01-12,5,6357.91,STORE_012
11075,12743,332,2026-01-12,5,2707.67,STORE_008
11076,13696,857,2026-01-12,5,9993.61,STORE_013
11077,13738,999,2026-01-12,4,1322.44,STORE_001
11078,10444,448,2026-01-12,5,7899.07,STORE_020
11079,11465,684,2026-01-12,2,7392.04,STORE_001
11080,14396,284,2026-01-12,1,125.66,STORE_021
11081,14792,375,2026-01-12,3,4555.61,STORE_016
11082,11875,20,2026-01-12,2,5146.88,STORE_004
11083,14567,917,2026-01-12,2,3338.58,STORE_025
11084,10655,849,2026-01-12,1,4515.2,STORE_011
11085,11789,950,2026-01-12,1,807.74,STORE_006
11086,14380,348,2026-01-12,3,7978.5,STORE_017
11087,11173,327,2026-01-12,5,8273.47,STORE_016
11088,14839,953,2026-01-12,4,1605.35,STORE_006
11089,11272,295,2026-01-12,3,5346.72,STORE_003
11090,14098,377,2026-01-12,1,7956.39,STORE_011
11091,10541,868,2026-01-12,4,4064.01,STORE_023
11092,14712,874,2026-01-12,2,158.85,STORE_019
11093,10586,383,2026-01-12,4,8407.04,STORE_008
11094,10547,861,2026-01-12,4,7332.81,STORE_003
11095,11262,751,2026-01-12,4,2678.15,STORE_005
11096,10975,143,2026-01-12,2,5029.47,STORE_025
11097,13001,98,2026-01-12,1,7412.46,STORE_023
11098,13698,984,2026-01-12,1,5174.62,STORE_020
11099,13419,756,2026-01-12,1,6664.02,STORE_012
11100,12827,690,2026-01-12,3,9748.64,STORE_020
11101,10387,976,2026-01-12,4,4570.69,STORE_015
11102,11749,448,2026-01-12,3,2134.15,STORE_020
11103,12466,229,2026-01-12,4,8732.13,STORE_023
11104,14854,731,2026-01-12,2,9908.07,STORE_007
11105,13807,984,2026-01-12,5,9253.21,STORE_011
11106,14163,876,2026-01-12,1,338.47,STORE_003
11107,14365,697,2026-01-12,4,7680.48,STORE_004
11108,13276,22,2026-01-12,3,3175.13,STORE_009
11109,12153,24,2026-01-12,1,524.51,STORE_006
11110,10544,205,2026-01-12,3,8547.19,STORE_007
11111,11646,528,2026-01-12,4,4909.91,STORE_005
11112,11933,799,2026-01-12,4,4902.44,STORE_022
11113,11340,916,2026-01-12,4,7057.57,STORE_019
11114,13597,281,2026-01-12,2,2944.51,STORE_008
11115,13339,264,2026-01-12,2,9395.87,STORE_018
11116,13627,514,2026-01-12,5,3179.78,STORE_012
11117,10880,801,2026-01-12,4,9693.87,STORE_022
11118,14738,86,2026-01-12,4,4976.85,STORE_022
11119,13081,908,2026-01-12,5,3047.16,STORE_003
11120,11618,87,2026-01-12,4,1847.1,STORE_022
11121,10503,223,2026-01-12,4,5868.34,STORE_013
11122,12071,686,2026-01-12,5,9862.47,STORE_008
11123,13054,593,2026-01-12,1,2614.49,STORE_021
11124,10166,106,2026-01-12,2,2524.7,STORE_019
11125,11828,66,2026-01-12,5,8304.92,STORE_025
11126,12309,321,2026-01-12,2,4954.9,STORE_012
11127,10504,709,2026-01-12,4,7406.97,STORE_023
11128,10698,818,2026-01-12,4,7485.74,STORE_023
11129,10549,781,2026-01-12,3,6993.81,STORE_002
11130,14818,164,2026-01-12,4,9729.65,STORE_009
11131,11174,482,2026-01-12,2,8037.91,STORE_012
11132,10606,991,2026-01-12,2,1600.1,STORE_015
11133,14433,195,2026-01-12,2,2296.12,STORE_016
11134,13328,282,2026-01-12,2,1668.92,STORE_003
11135,13828,657,2026-01-12,3,3729.64,STORE_023
11136,10624,92,2026-01-12,5,3589.02,STORE_014
11137,10483,819,2026-01-12,2,4893.94,STORE_006
11138,12677,223,2026-01-12,1,2388.93,STORE_025
11139,13801,899,2026-01-12,1,1666.91,STORE_022
11140,13369,35,2026-01-12,3,7708.03,STORE_015
11141,13772,735,2026-01-12,5,9767.81,STORE_017
11142,10763,494,2026-01-12,2,4169.66,STORE_008
11143,13670,109,2026-01-12,4,2435.19,STORE_020
11144,14040,385,2026-01-12,5,2179.19,STORE_015
11145,11345,912,2026-01-12,3,8232.93,STORE_014
11146,13627,97,2026-01-12,3,7948.61,STORE_014
11147,13963,573,2026-01-12,1,4411.62,STORE_017
11148,14103,73,2026-01-12,4,6781.01,STORE_004
11149,10814,501,2026-01-12,5,6739.67,STORE_024
11150,13281,679,2026-01-12,3,4093.63,STORE_002
11151,14415,969,2026-01-12,5,2030.04,STORE_013
11152,13898,801,2026-01-12,2,8375.93,STORE_019
11153,13213,439,2026-01-12,5,5381.31,STORE_022
11154,13802,933,2026-01-12,2,9816.93,STORE_005
11155,14785,254,2026-01-12,1,3672.07,STORE_012
11156,11504,672,2026-01-12,4,7303.9,STORE_015
11157,12684,640,2026-01-12,2,8482.38,STORE_004
11158,10054,339,2026-01-12,5,9246.93,STORE_015
11159,11035,133,2026-01-12,3,1409.89,STORE_013
11160,12395,271,2026-01-12,3,8019.18,STORE_014
11161,13933,490,2026-01-12,5,9488.18,STORE_014
11162,10587,247,2026-01-12,4,9222.52,STORE_023
11163,12148,956,2026-01-12,5,8348.96,STORE_009
11164,12229,522,2026-01-12,5,1507.01,STORE_005
11165,11608,770,2026-01-12,4,6068.04,STORE_020
11166,13883,659,2026-01-12,1,6833.19,STORE_013
11167,12045,351,2026-01-12,5,1918.05,STORE_025
11168,14739,250,2026-01-12,5,921.91,STORE_019
11169,12481,819,2026-01-12,3,9495.06,STORE_008
11170,10149,564,2026-01-12,2,8534.75,STORE_011
11171,11318,759,2026-01-12,3,1065.74,STORE_006
11172,10438,348,2026-01-12,3,7038.2,STORE_021
11173,11613,866,2026-01-12,4,7288.39,STORE_017
11174,10266,199,2026-01-12,4,3054.06,STORE_010
11175,11633,641,2026-01-12,4,5260.37,STORE_007
11176,12163,792,2026-01-12,4,1209.92,STORE_009
11177,13806,610,2026-01-12,4,5648.08,STORE_003
11178,11629,327,2026-01-12,3,1959.72,STORE_019
11179,11183,474,2026-01-12,1,462.4,STORE_021
11180,10506,612,2026-01-12,2,4741.87,STORE_017
11181,11421,271,2026-01-12,4,2050.37,STORE_005
11182,12929,245,2026-01-12,2,3250.54,STORE_002
11183,14090,230,2026-01-12,4,858.16,STORE_015
11184,13513,823,2026-01-12,1,8589.76,STORE_004
11185,13664,925,2026-01-12,4,6535.88,STORE_025
11186,10390,486,2026-01-12,4,1651.89,STORE_004
11187,14396,754,2026-01-12,2,7596.89,STORE_015
11188,12590,541,2026-01-12,4,7935.21,STORE_018
11189,11094,322,2026-01-12,2,5028.18,STORE_014
11190,14373,8,2026-01-12,4,2915.86,STORE_025
11191,13573,923,2026-01-12,4,1963.19,STORE_003
11192,10840,266,2026-01-12,5,1112.97,STORE_014
11193,11886,565,2026-01-12,2,9891.21,STORE_018
11194,13501,429,2026-01-12,4,7679.88,STORE_019
11195,13919,171,2026-01-12,1,588.1,STORE_014
11196,14484,992,2026-01-12,5,4885.74,STORE_020
11197,13787,838,2026-01-12,5,8242.22,STORE_005
11198,10204,1000,2026-01-12,3,4684.37,STORE_018
11199,10250,912,2026-01-12,5,7597.86,STORE_015
11200,11533,442,2026-01-12,5,7365.59,STORE_020
11201,13174,572,2026-01-12,1,2057.22,STORE_022
11202,11720,570,2026-01-12,5,3834.24,STORE_021
11203,12037,691,2026-01-12,4,632.84,STORE_009
11204,13584,262,2026-01-12,3,890.49,STORE_010
11205,10570,434,2026-01-12,4,8068.99,STORE_020
11206,13532,730,2026-01-12,3,8850.73,STORE_006
11207,12488,639,2026-01-12,1,2324.84,STORE_006
11208,13911,170,2026-01-12,2,7141.72,STORE_011
11209,14985,394,2026-01-12,3,6809.92,STORE_009
11210,14930,912,2026-01-12,4,8533.68,STORE_008
11211,11356,124,2026-01-12,3,7908.08,STORE_022
11212,12710,272,2026-01-12,5,3269.57,STORE_021
11213,11542,106,2026-01-12,3,5997.04,STORE_025
11214,14524,963,2026-01-12,4,9679.99,STORE_017
11215,12641,901,2026-01-12,4,3419.86,STORE_020
11216,11291,1,2026-01-12,1,8859.43,STORE_014
11217,14752,540,2026-01-12,3,5615.2,STORE_025
11218,13363,976,2026-01-12,1,2919.33,STORE_009
11219,13133,712,2026-01-12,3,530.1,STORE_025
11220,13134,517,2026-01-12,4,3056.48,STORE_014
11221,10846,874,2026-01-12,4,4303.29,STORE_022
11222,10606,497,2026-01-12,2,1671.16,STORE_014
11223,14583,713,2026-01-12,5,9767.22,STORE_021
11224,11659,5,2026-01-12,2,5665.35,STORE_019
11225,14555,806,2026-01-12,3,9317.92,STORE_006
11226,13971,112,2026-01-12,5,5334.75,STORE_006
11227,10018,455,2026-01-12,3,8711.11,STORE_007
11228,11033,952,2026-01-12,2,4112.25,STORE_016
11229,11884,229,2026-01-12,1,3778.87,STORE_009
11230,13161,174,2026-01-12,5,2955.23,STORE_018
11231,11111,555,2026-01-12,1,1175.08,STORE_003
11232,11589,790,2026-01-12,4,8053.99,STORE_019
11233,11137,279,2026-01-12,2,6180.59,STORE_001
11234,13232,82,2026-01-12,2,3534.72,STORE_012
11235,14066,188,2026-01-12,3,4547.26,STORE_014
11236,12685,284,2026-01-12,1,1921.64,STORE_005
11237,14170,995,2026-01-12,5,244.97,STORE_021
11238,12823,552,2026-01-12,1,3455.8,STORE_015
11239,12620,236,2026-01-12,1,5964.07,STORE_019
11240,10230,375,2026-01-12,4,3206.37,STORE_022
11241,12958,847,2026-01-12,2,4212.51,STORE_009
11242,11172,275,2026-01-12,3,531.37,STORE_013
11243,13696,640,2026-01-12,5,6447.77,STORE_019
11244,10128,559,2026-01-12,4,6107.41,STORE_016
11245,14074,777,2026-01-12,2,7574.53,STORE_019
11246,10325,550,2026-01-12,4,8536.9,STORE_007
11247,12172,458,2026-01-12,3,6714.22,STORE_003
11248,11044,667,2026-01-12,2,2832.21,STORE_004
11249,13187,402,2026-01-12,1,9909.18,STORE_011
11250,14151,322,2026-01-12,1,5193.52,STORE_004
11251,12822,905,2026-01-12,2,6132.33,STORE_023
11252,14384,483,2026-01-12,5,6717.78,STORE_021
11253,14977,481,2026-01-12,5,5197.95,STORE_012
11254,14217,251,2026-01-12,4,7405.52,STORE_009
11255,11356,945,2026-01-12,5,6359.74,STORE_003
11256,11371,325,2026-01-12,4,3437.85,STORE_017
11257,11805,882,2026-01-12,1,7397.25,STORE_020
11258,10619,34,2026-01-12,1,5901.35,STORE_018
11259,13628,2,2026-01-12,3,4452.01,STORE_019
11260,14977,708,2026-01-12,1,5983.42,STORE_013
11261,13682,341,2026-01-12,5,4817.99,STORE_019
11262,12646,863,2026-01-12,1,8639.69,STORE_016
11263,14306,365,2026-01-12,4,1317.86,STORE_015
11264,13577,736,2026-01-12,1,6612.33,STORE_005
11265,10077,415,2026-01-12,4,4321.26,STORE_013
11266,10462,406,2026-01-12,5,5241.87,STORE_008
11267,12841,168,2026-01-12,3,8875.02,STORE_025
11268,11266,129,2026-01-12,2,9636.23,STORE_011
11269,13935,947,2026-01-12,2,8018.29,STORE_024
11270,14124,56,2026-01-12,4,805.87,STORE_002
11271,10115,27,2026-01-12,3,9502.78,STORE_006
11272,10462,940,2026-01-12,1,6760.95,STORE_025
11273,10434,576,2026-01-12,2,3724.53,STORE_012
11274,10273,682,2026-01-12,1,2379.08,STORE_006
11275,12925,837,2026-01-12,2,3447.73,STORE_009
11276,12343,126,2026-01-12,5,6275.06,STORE_014
11277,11768,668,2026-01-12,3,2975.24,STORE_016
11278,10721,60,2026-01-12,5,4070.79,STORE_021
11279,12553,125,2026-01-12,1,3816.84,STORE_004
11280,14297,154,2026-01-12,3,1845.4,STORE_006
11281,10211,953,2026-01-12,5,4907.52,STORE_003
11282,10754,205,2026-01-12,1,1516.29,STORE_010
11283,13273,133,2026-01-12,2,5339.67,STORE_012
11284,11528,911,2026-01-12,1,1280.38,STORE_017
11285,11385,620,2026-01-12,1,9496.57,STORE_001
11286,10972,729,2026-01-12,5,7187.23,STORE_011
11287,14394,99,2026-01-12,3,4951.21,STORE_023
11288,10771,805,2026-01-12,5,9414.31,STORE_019
11289,12768,438,2026-01-12,3,9090.62,STORE_020
11290,13154,46,2026-01-12,4,8172.3,STORE_004
11291,10870,135,2026-01-12,4,4950.11,STORE_020
11292,14711,897,2026-01-12,2,518.53,STORE_016
11293,12825,676,2026-01-12,1,7013.2,STORE_016
11294,11026,386,2026-01-12,3,5743.44,STORE_021
11295,13408,365,2026-01-12,5,5445.85,STORE_007
11296,10158,734,2026-01-12,1,728.05,STORE_015
11297,12746,722,2026-01-12,2,2141.6,STORE_005
11298,11545,249,2026-01-12,1,1689.93,STORE_004
11299,13909,276,2026-01-12,3,8267.6,STORE_001
11300,13504,784,2026-01-12,4,462.09,STORE_012
11301,14140,407,2026-01-12,5,8077.23,STORE_019
11302,11858,365,2026-01-12,1,1885.93,STORE_007
11303,12806,179,2026-01-12,2,3368.92,STORE_013
11304,10784,516,2026-01-12,3,7546.63,STORE_024
11305,11605,624,2026-01-12,2,9026.11,STORE_021
11306,11675,520,2026-01-12,2,4743.34,STORE_009
11307,14634,526,2026-01-12,2,4861.61,STORE_007
11308,13508,280,2026-01-12,5,8761.25,STORE_011
11309,10847,819,2026-01-12,1,9554.6,STORE_016
11310,14446,815,2026-01-12,3,6918.42,STORE_020
11311,12793,442,2026-01-12,5,8321.43,STORE_004
11312,13604,457,2026-01-12,3,3419.94,STORE_001
11313,11739,662,2026-01-12,2,4624.52,STORE_004
11314,14990,691,2026-01-12,3,2357.13,STORE_020
11315,11749,937,2026-01-12,3,6131.57,STORE_009
11316,10833,37,2026-01-12,2,7639.87,STORE_025
11317,14258,24,2026-01-12,4,8148.25,STORE_022
11318,14267,542,2026-01-12,1,5412.66,STORE_024
11319,14683,998,2026-01-12,5,6820.12,STORE_019
11320,14950,311,2026-01-12,5,8729.71,STORE_020
11321,13649,361,2026-01-12,3,6991.59,STORE_018
11322,11337,587,2026-01-12,4,9299.7,STORE_008
11323,13709,178,2026-01-12,4,6481.4,STORE_024
11324,14095,891,2026-01-12,5,906.02,STORE_005
11325,13966,177,2026-01-12,2,7951.22,STORE_008
11326,14434,7,2026-01-12,5,7239.77,STORE_010
11327,11065,223,2026-01-12,4,8087.45,STORE_025
11328,12868,669,2026-01-12,1,6995.15,STORE_024
11329,11023,139,2026-01-12,3,6359.25,STORE_020
11330,12714,266,2026-01-12,3,4096.5,STORE_003
11331,10154,400,2026-01-12,4,5481.23,STORE_003
11332,11365,515,2026-01-12,1,9342.67,STORE_017
11333,14046,674,2026-01-12,3,8672.03,STORE_012
11334,13104,370,2026-01-12,5,7204.59,STORE_004
11335,14589,551,2026-01-12,3,2838.22,STORE_014
11336,14762,191,2026-01-12,2,5101.11,STORE_013
11337,10062,984,2026-01-12,5,8667.93,STORE_020
11338,12394,345,2026-01-12,2,3934.03,STORE_014
11339,14237,963,2026-01-12,4,6518.44,STORE_021
11340,10919,906,2026-01-12,4,5291.07,STORE_007
11341,11545,614,2026-01-12,2,2348.17,STORE_016
11342,11823,313,2026-01-12,1,808.36,STORE_011
11343,10073,497,2026-01-12,1,1862.55,STORE_016
11344,11527,838,2026-01-12,5,796.9,STORE_016
11345,12860,852,2026-01-12,1,9276.7,STORE_025
11346,13629,526,2026-01-12,3,4550.82,STORE_024
11347,10318,166,2026-01-12,3,7608.01,STORE_007
11348,14322,901,2026-01-12,1,2171.51,STORE_024
11349,12016,980,2026-01-12,3,2001.03,STORE_008
11350,11096,959,2026-01-12,2,9866.04,STORE_009
11351,13669,732,2026-01-12,1,5358.95,STORE_006
11352,11078,402,2026-01-12,5,404.82,STORE_006
11353,11635,69,2026-01-12,2,8283.62,STORE_013
