ProductID,ProductName,Category,SubCategory,Brand,CostPrice
1,Puma_1,Home,Decor,Puma,3734.54
2,Samsung_2,Fashion,Shirt,Samsung,772.1
3,LG_3,Sports,Fitness,LG,3042.25
4,Adidas_4,Fashion,Shirt,Adidas,3130.74
5,Samsung_5,Home,Furniture,Samsung,942.83
6,LG_6,Home,Kitchen,LG,718.87
7,Sony_7,Fashion,Footwear,Sony,2563.49
8,Puma_8,Electronics,Mobile,Puma,601.06
9,Puma_9,Electronics,Tablet,Puma,3125.8
10,Adidas_10,Fashion,Shirt,Adidas,2557.92
11,Boat_11,Electronics,Laptop,Boat,1250.21
12,Boat_12,Electronics,Mobile,Boat,2628.28
13,Sony_13,Home,Furniture,Sony,1460.55
14,Puma_14,Home,Decor,Puma,1869.16
15,Apple_15,Home,Furniture,Apple,4215.08
16,Boat_16,Electronics,Laptop,Boat,1369.54
17,LG_17,Electronics,Laptop,LG,2480.86
18,Boat_18,Sports,Cycling,Boat,3773.13
19,Samsung_19,Fashion,Jeans,Samsung,2303.36
20,Puma_20,Sports,Fitness,Puma,3259.44
21,Samsung_21,Fashion,Footwear,Samsung,2017.08
22,LG_22,Sports,Fitness,LG,2738.95
23,Puma_23,Fashion,Shirt,Puma,2009.13
24,LG_24,Sports,Cycling,LG,1086.71
25,Samsung_25,Sports,Cycling,Samsung,2629.36
26,Adidas_26,Home,Kitchen,Adidas,2991.49
27,LG_27,Sports,Fitness,LG,3395.73
28,Samsung_28,Home,Decor,Samsung,4830.87
29,Sony_29,Home,Decor,Sony,1420.4
30,Adidas_30,Fashion,Shirt,Adidas,4021.4
31,Boat_31,Home,Furniture,Boat,4414.03
32,Samsung_32,Sports,Cycling,Samsung,2554.48
33,Apple_33,Fashion,Jeans,Apple,3103.01
34,Samsung_34,Electronics,Laptop,Samsung,3615.68
35,Adidas_35,Electronics,Laptop,Adidas,2718.99
36,Boat_36,Sports,Outdoor,Boat,2878.91
37,Apple_37,Electronics,Mobile,Apple,3197.46
38,Samsung_38,Home,Decor,Samsung,2789.95
39,Sony_39,Fashion,Jeans,Sony,4244.83
40,LG_40,Sports,Outdoor,LG,2650.44
41,LG_41,Electronics,Mobile,LG,1823.0
42,Samsung_42,Fashion,Footwear,Samsung,3069.99
43,Adidas_43,Fashion,Jeans,Adidas,3476.06
44,LG_44,Electronics,Tablet,LG,697.52
45,Boat_45,Home,Furniture,Boat,2916.41
46,Apple_46,Electronics,Laptop,Apple,2192.82
47,Sony_47,Fashion,Footwear,Sony,1608.22
48,Samsung_48,Home,Decor,Samsung,261.79
49,Boat_49,Home,Kitchen,Boat,667.49
50,Nike_50,Home,Decor,Nike,2290.06
51,Apple_51,Home,Decor,Apple,4638.49
52,Boat_52,Home,Decor,Boat,2575.53
53,Boat_53,Sports,Cycling,Boat,2431.26
54,Apple_54,Electronics,Laptop,Apple,1629.75
55,Samsung_55,Fashion,Footwear,Samsung,4958.56
56,Apple_56,Home,Furniture,Apple,2702.34
57,LG_57,Home,Decor,LG,4431.81
58,Nike_58,Sports,Outdoor,Nike,4208.04
59,Apple_59,Fashion,Footwear,Apple,3105.99
60,Puma_60,Sports,Cycling,Puma,195.48
61,Boat_61,Electronics,Laptop,Boat,2706.83
62,Boat_62,Electronics,Tablet,Boat,1264.96
63,Nike_63,Fashion,Jeans,Nike,791.27
64,Sony_64,Sports,Outdoor,Sony,4972.44
65,LG_65,Fashion,Shirt,LG,4888.64
66,Adidas_66,Fashion,Footwear,Adidas,2913.69
67,Adidas_67,Fashion,Shirt,Adidas,629.16
68,Adidas_68,Sports,Cycling,Adidas,1532.1
69,Sony_69,Electronics,Laptop,Sony,3705.41
70,Adidas_70,Home,Decor,Adidas,182.71
71,Samsung_71,Sports,Fitness,Samsung,4924.67
72,LG_72,Home,Furniture,LG,2660.31
73,Nike_73,Sports,Fitness,Nike,3335.35
74,Samsung_74,Fashion,Shirt,Samsung,1662.37
75,Adidas_75,Sports,Fitness,Adidas,847.19
76,Boat_76,Home,Kitchen,Boat,1809.22
77,Boat_77,Electronics,Tablet,Boat,1826.33
78,Sony_78,Sports,Cycling,Sony,403.51
79,Nike_79,Home,Decor,Nike,2235.38
80,Puma_80,Fashion,Jeans,Puma,752.54
81,Boat_81,Fashion,Shirt,Boat,4068.99
82,Apple_82,Sports,Cycling,Apple,149.37
83,Samsung_83,Home,Decor,Samsung,196.34
84,Boat_84,Home,Decor,Boat,287.9
85,Puma_85,Electronics,Laptop,Puma,3169.72
86,Samsung_86,Sports,Fitness,Samsung,82.35
87,Apple_87,Home,Decor,Apple,1679.65
88,Adidas_88,Electronics,Laptop,Adidas,2870.71
89,LG_89,Fashion,Jeans,LG,922.92
90,Boat_90,Electronics,Tablet,Boat,3966.17
91,Puma_91,Home,Kitchen,Puma,865.27
92,Samsung_92,Sports,Fitness,Samsung,3249.87
93,Apple_93,Sports,Cycling,Apple,3716.31
94,LG_94,Home,Furniture,LG,4544.8
95,Apple_95,Electronics,Mobile,Apple,1976.91
96,Samsung_96,Home,Kitchen,Samsung,579.97
97,Boat_97,Fashion,Footwear,Boat,2249.83
98,Adidas_98,Sports,Outdoor,Adidas,3736.82
99,Nike_99,Sports,Fitness,Nike,261.74
100,Apple_100,Sports,Fitness,Apple,1870.64
101,LG_101,Sports,Outdoor,LG,616.61
102,Sony_102,Fashion,Jeans,Sony,2761.17
103,Apple_103,Home,Furniture,Apple,920.85
104,Samsung_104,Fashion,Shirt,Samsung,4643.93
105,Boat_105,Fashion,Shirt,Boat,1870.68
106,Sony_106,Electronics,Laptop,Sony,1312.64
107,Apple_107,Home,Kitchen,Apple,2273.17
108,LG_108,Sports,Cycling,LG,3598.82
109,LG_109,Fashion,Shirt,LG,2087.49
110,Boat_110,Fashion,Jeans,Boat,1404.01
111,Boat_111,Home,Decor,Boat,2599.91
112,LG_112,Electronics,Tablet,LG,4606.75
113,Sony_113,Electronics,Laptop,Sony,1057.97
114,Apple_114,Sports,Cycling,Apple,4819.32
115,Puma_115,Home,Furniture,Puma,4761.11
116,Sony_116,Electronics,Tablet,Sony,4723.56
117,Apple_117,Sports,Outdoor,Apple,2796.11
118,LG_118,Home,Kitchen,LG,2263.27
119,Puma_119,Fashion,Shirt,Puma,3145.77
120,Apple_120,Electronics,Laptop,Apple,2831.36
121,Adidas_121,Electronics,Tablet,Adidas,3295.58
122,Adidas_122,Sports,Fitness,Adidas,4958.66
123,Boat_123,Home,Kitchen,Boat,2881.08
124,Boat_124,Fashion,Jeans,Boat,3869.71
125,Apple_125,Fashion,Footwear,Apple,3357.48
126,Apple_126,Electronics,Laptop,Apple,4877.93
127,Adidas_127,Home,Decor,Adidas,4261.26
128,Sony_128,Sports,Fitness,Sony,3683.77
129,Samsung_129,Fashion,Footwear,Samsung,3022.6
130,Boat_130,Sports,Fitness,Boat,3637.92
